"Week","Completion","Movie","Owner","Bid","Factor","ReleaseDate","Distributor","Gross","Change","Thtrs.","Per.Thtr.","Total.Gross","TrueGross","EstTotal","Efficiency"
3,0.760320031,"A Dog’s Journey","curtis",9,1,"5/17/2019","Universal",1114385,-0.73,1674,666,18838855,18838855,24777533.45,2753059.272
2,0.535327369,"Aladdin","curtis",26,0.5,"5/24/2019","Walt Disney",42840544,-0.53,4476,9571,185537718,92768859,173293697.2,6665142.201
2,0.535327369,"Aladdin","michael",25,0.5,"5/24/2019","Walt Disney",42840544,-0.53,4476,9571,185537718,92768859,173293697.2,6931747.889
24,1,"All is True","jake",1,1,"5/10/2019","Sony Pictures Classics",95570,-0.31,81,1180,469770,469770,469770,469770
5,0.938762488,"Ask Dr. Ruth","sam",3,1,"5/3/2019","Magnolia Pictures",3941,-0.63,14,282,275676,275676,293658.943,97886.31435
2,0.535327369,"Booksmart","jacob",15,1,"5/24/2019","Annapurna Pictures",3301392,-0.52,2518,1311,14339576,14339576,26786554.98,1785770.332
2,0.535327369,"BrightBurn","alex",12,1,"5/24/2019","Sony Pictures",2455683,-0.69,2607,942,14353235,14353235,26812070.2,2234339.184
2,0.535327369,"Echo in the Canyon","brian",1,1,"5/24/2019","Greenwich",96805,-0.18,14,6915,251607,251607,470005.8592,470005.8592
1,0.35,"El Chicano","sam",4,1,"5/3/2019","Briarcliffe Enterta…",700261,NA,605,1157,700261,700261,2000745.714,500186.4286
1,0.35,"Godzilla: King of th","brian",46,1,"5/31/2019","Warner Bros.",48010000,NA,4108,11687,48010000,48010000,137171428.6,2981987.578
3,0.760320031,"John Wick: Chapter 3","curtis",21,1,"5/17/2019","Lionsgate",11085459,-0.55,3604,3076,125738271,125738271,165375454.9,7875021.662
5,0.938762488,"Long Shot","alex",10,1,"5/3/2019","Lionsgate",334770,-0.79,477,702,29904463,29904463,31855195.94,3185519.594
1,0.35,"MA","curtis",12,1,"5/31/2019","Universal",18099805,NA,2808,6446,18099805,18099805,51713728.57,4309477.381
5,0.938762488,"Meeting Gorbachev","john",3,1,"5/3/2019","1091 Media",15397,-0.54,27,570,189120,189120,201456.7075,67152.23585
4,0.884453914,"Pokémon: Detective P","john",32,0.5,"5/10/2019","Warner Bros.",6950000,-0.48,3147,2208,130886211,65443105.5,73992668.77,2312270.899
4,0.884453914,"Pokémon: Detective P","alex",30,0.5,"5/10/2019","Warner Bros.",6950000,-0.48,3147,2208,130886211,65443105.5,73992668.77,2466422.292
4,0.884453914,"Poms","jake",9,1,"5/10/2019","STX Entertainment",207644,-0.68,374,555,13213810,13213810,14940077.48,1660008.609
1,0.35,"Rocketman","jake",27,1,"5/31/2019","Paramount Pictures",25725722,NA,3610,7126,25725722,25725722,73502062.86,2722298.624
2,0.535327369,"Student of the Year ","curtis",1,1,"5/10/2019","FIP",106695,-0.77,189,565,727372,727372,1358742.411,1358742.411
4,0.884453914,"The Biggest Little F","jake",1,1,"5/10/2019","Neon",435323,-0.17,275,1583,1841508,1841508,2082084.743,2082084.743
4,0.884453914,"The Hustle","jacob",10,1,"5/10/2019","MGM",1320842,-0.63,1407,939,33216444,33216444,37555878.8,3755587.88
5,0.938762488,"The Intruder","sam",6,1,"5/3/2019","Sony Pictures",800836,-0.65,807,992,34198002,34198002,36428811.8,6071468.633
2,0.535327369,"The Spy Behind Home ","brian",1,1,"5/24/2019","The Ciesla Foundation",22950,0.7,5,4590,38403,38403,71737.41195,71737.41195
2,0.535327369,"The Sun is Also a St","sam",6,1,"5/17/2019","Warner Bros.",806737,-0.68,2073,389,4293561,4293561,8020439.919,1336739.986
2,0.535327369,"The Tomorrow Man","brian",1,1,"5/22/2019","Bleecker Street",24480,0.34,4,6120,58554,58554,109379.799,109379.799
4,0.884453914,"Tolkien","brian",3,1,"5/10/2019","Fox Searchlight",43180,-0.69,94,459,4476959,4476959,5061834.121,1687278.04
2,0.535327369,"Trial by Fire","brian",1,1,"5/17/2019","Roadside Attractions",14186,-0.82,45,315,138866,138866,259403.8864,259403.8864
5,0.938762488,"UglyDolls","jacob",13,1,"5/3/2019","STX Entertainment",221608,-0.65,296,749,19588805,19588805,20866625.21,1605125.016
3,0.760320031,"Walking on Water","brian",1,1,"5/17/2019","Kino Lorber",5647,-0.67,8,706,59672,59672,78482.74091,78482.74091
4,0.884453914,"A Dog’s Journey","curtis",9,1,"5/17/2019","Universal",1360000,-0.67,631,2155,21040820,21040820,23789617.1490061,2643290.79433402
3,0.760320031,"Aladdin","curtis",26,0.5,"5/24/2019","Walt Disney",24500000,-0.73,3805,6439,232385926,116192963,152821125.660965,5877735.60234482
3,0.760320031,"Aladdin","michael",25,0.5,"5/24/2019","Walt Disney",24500000,-0.73,3805,6439,232385926,116192963,152821125.660965,6112845.02643861
25,1,"All is True","jake",1,1,"5/10/2019","Sony Pictures Classics",237587,0.72,328,724,752634,752634,752634,752634
