"Movie","Distributor","Gross","Change","Thtrs.","Per Thtr.","Total Gross","Days","UpdateDate"
"El Chicano","Briarcliffe Enterta…",233000,NA,605,385,233000,1,525
"Long Shot","Lionsgate",3645044,NA,3230,1128,3645044,1,525
"The Intruder","Sony Pictures",3940875,NA,2222,1774,3940875,1,525
"UglyDolls","STX Entertainment",2496875,NA,3652,684,2496875,1,525
"Meeting Gorbachev","1091 Media",5885,NA,2,2943,5885,1,525
"Long Shot","Lionsgate",3781286,0.04,3230,1171,7426330,2,525
"The Intruder","Sony Pictures",4231497,0.07,2222,1904,8172372,2,525
"UglyDolls","STX Entertainment",3618823,0.45,3652,991,6115698,2,525
"Meeting Gorbachev","1091 Media",8175,0.39,2,4088,14060,2,525
"Long Shot","Lionsgate",2313734,-0.39,3230,716,9740064,3,525
"The Intruder","Sony Pictures",2682682,-0.37,2222,1207,10855054,3,525
"UglyDolls","STX Entertainment",2487709,-0.31,3652,681,8603407,3,525
"Meeting Gorbachev","1091 Media",4068,-0.5,2,2034,18128,3,525
"Long Shot","Lionsgate",821343,-0.65,3230,254,10561407,4,525
"The Intruder","Sony Pictures",800754,-0.7,2222,360,11655808,4,525
"UglyDolls","STX Entertainment",362697,-0.85,3652,99,8966104,4,525
"Meeting Gorbachev","1091 Media",1518,-0.63,2,759,19646,4,525
"Long Shot","Lionsgate",1383202,0.68,3230,428,11944609,5,525
"The Intruder","Sony Pictures",1331892,0.66,2222,599,12987700,5,525
"UglyDolls","STX Entertainment",708798,0.95,3652,194,9674902,5,525
"Meeting Gorbachev","1091 Media",1608,0.06,2,804,21254,5,525
"Long Shot","Lionsgate",867252,-0.37,3230,268,12811861,6,525
"The Intruder","Sony Pictures",702134,-0.47,2222,316,13689834,6,525
"UglyDolls","STX Entertainment",371819,-0.48,3652,102,10046721,6,525
"Meeting Gorbachev","1091 Media",1833,0.14,2,917,23087,6,525
"Long Shot","Lionsgate",800074,-0.08,3230,248,13611935,7,525
"The Intruder","Sony Pictures",685292,-0.02,2222,308,14375126,7,525
"UglyDolls","STX Entertainment",314075,-0.16,3652,86,10360796,7,525
"Pokémon: Detective P","Warner Bros.",5700000,NA,NA,NA,5700000,NA,525
"Poms","STX Entertainment",225000,NA,2000,113,225000,NA,525
"The Hustle","MGM",774000,NA,NA,NA,774000,NA,525
"Meeting Gorbachev","1091 Media",1893,0.03,2,947,24980,7,525
"Long Shot","Lionsgate",1660542,1.08,3230,514,15272477,8,525
"The Intruder","Sony Pictures",1688684,1.46,2222,760,16063810,8,525
"UglyDolls","STX Entertainment",958357,2.05,3652,262,11319153,8,525
"Pokémon: Detective P","Warner Bros.",20575704,NA,4202,4897,20575704,1,525
"Poms","STX Entertainment",1497688,NA,2750,545,1497688,1,525
"The Hustle","MGM",3997560,NA,3007,1329,3997560,1,525
"Meeting Gorbachev","1091 Media",18376,8.71,19,967,43356,8,525
"Student of the Year ","FIP",138229,NA,190,728,138229,1,525
"The Biggest Little F","Neon",56354,NA,5,11271,56354,1,525
"Tolkien","Fox Searchlight",827108,NA,1495,553,827108,1,525
"Long Shot","Lionsgate",2480060,0.49,3230,768,17752537,9,525
"The Intruder","Sony Pictures",2855573,0.69,2222,1285,18919383,9,525
"UglyDolls","STX Entertainment",1738241,0.81,3652,476,13057394,9,525
"Pokémon: Detective P","Warner Bros.",20365840,-0.01,4202,4847,40941544,2,525
"Poms","STX Entertainment",1688095,0.13,2750,614,3185783,2,525
"The Hustle","MGM",4362102,0.09,3007,1451,8359662,2,525
"Meeting Gorbachev","1091 Media",10487,-0.43,19,552,53843,9,525
"Student of the Year ","FIP",176982,0.28,190,931,315211,2,525
"The Biggest Little F","Neon",25519,-0.55,5,5104,81873,2,525
"Tolkien","Fox Searchlight",720980,-0.13,1495,482,1548088,2,525
"Long Shot","Lionsgate",2130930,-0.14,3230,660,19883467,10,525
"The Intruder","Sony Pictures",2646068,-0.07,2222,1191,21565451,10,525
"UglyDolls","STX Entertainment",1450494,-0.17,3652,397,14507888,10,525
"Pokémon: Detective P","Warner Bros.",13423698,-0.34,4202,3195,54365242,3,525
"Poms","STX Entertainment",2176154,0.29,2750,791,5361937,3,525
"The Hustle","MGM",4648047,0.07,3007,1546,13007709,3,525
"Meeting Gorbachev","1091 Media",8077,-0.23,19,425,61920,10,525
"Student of the Year ","FIP",146897,-0.17,190,773,462108,3,525
"The Biggest Little F","Neon",28619,0.12,5,5724,110492,3,525
"Tolkien","Fox Searchlight",652449,-0.1,1495,436,2200537,3,525
"Long Shot","Lionsgate",567637,-0.73,3230,176,20451104,11,525
"The Intruder","Sony Pictures",613233,-0.77,2222,276,22178684,11,525
"UglyDolls","STX Entertainment",240376,-0.83,3652,66,14748264,11,525
"Pokémon: Detective P","Warner Bros.",3693215,-0.72,4202,879,58058457,4,525
"Poms","STX Entertainment",525642,-0.76,2750,191,5887579,4,525
"The Hustle","MGM",917360,-0.8,3007,305,13925069,4,525
"Meeting Gorbachev","1091 Media",3303,-0.59,19,174,65223,11,525
"Student of the Year ","FIP",36094,-0.75,190,190,498202,4,525
"The Biggest Little F","Neon",5750,-0.8,5,1150,116242,4,525
"Tolkien","Fox Searchlight",201017,-0.69,1495,134,2401554,4,525
"Long Shot","Lionsgate",835508,0.47,3230,259,21286612,12,525
"The Intruder","Sony Pictures",888354,0.45,2222,400,23067038,12,525
"UglyDolls","STX Entertainment",405275,0.69,3652,111,15153539,12,525
"Pokémon: Detective P","Warner Bros.",5337617,0.45,4202,1270,63396074,5,525
"Poms","STX Entertainment",980897,0.87,2750,357,6868476,5,525
"The Hustle","MGM",1487645,0.62,3007,495,15412714,5,525
"Meeting Gorbachev","1091 Media",3553,0.08,19,187,68776,12,525
"Student of the Year ","FIP",70892,0.96,190,373,569094,5,525
"The Biggest Little F","Neon",5527,-0.04,5,1105,121769,5,525
"Tolkien","Fox Searchlight",298811,0.49,1495,200,2700365,5,525
"Long Shot","Lionsgate",566816,-0.32,3230,175,21853428,13,525
"The Intruder","Sony Pictures",530197,-0.4,2222,239,23597235,13,525
"UglyDolls","STX Entertainment",258392,-0.36,3652,71,15411931,13,525
"Pokémon: Detective P","Warner Bros.",3070078,-0.42,4202,731,66466152,6,525
"Poms","STX Entertainment",566931,-0.42,2750,206,7435407,6,525
"The Hustle","MGM",855709,-0.42,3007,285,16268423,6,525
"Meeting Gorbachev","1091 Media",3561,NA,19,187,72337,13,525
"Student of the Year ","FIP",30067,-0.58,190,158,599161,6,525
"The Biggest Little F","Neon",4443,-0.2,5,889,126212,6,525
"Tolkien","Fox Searchlight",188274,-0.37,1495,126,2888639,6,525
"Long Shot","Lionsgate",469618,-0.17,3230,145,22323046,14,525
"The Intruder","Sony Pictures",435906,-0.18,2222,196,24033141,14,525
"UglyDolls","STX Entertainment",241737,-0.06,3652,66,15653668,14,525
"Pokémon: Detective P","Warner Bros.",2720694,-0.11,4202,647,69186846,7,525
"Poms","STX Entertainment",494785,-0.13,2750,180,7930192,7,525
"The Hustle","MGM",796301,-0.07,3007,265,17064724,7,525
"John Wick: Chapter 3","Lionsgate",5900000,NA,NA,NA,5900000,NA,525
"Meeting Gorbachev","1091 Media",3988,0.12,19,210,76325,14,525
"Student of the Year ","FIP",21516,-0.28,190,113,620677,7,525
"The Biggest Little F","Neon",10496,1.36,5,2099,136708,7,525
"Tolkien","Fox Searchlight",148100,-0.21,1495,99,3036739,7,525
"Walking on Water","Kino Lorber",14429,NA,NA,NA,14429,NA,525
"Long Shot","Lionsgate",974687,1.08,2110,462,23297733,15,525
"The Intruder","Sony Pictures",1120941,1.57,2231,502,25154082,15,525
"UglyDolls","STX Entertainment",355132,0.47,2030,175,16008800,15,525
"Pokémon: Detective P","Warner Bros.",6247867,1.3,4248,1471,75434713,8,525
