21 Bridges,jake,9,1,7/12/2019
47 Meters Down: The Next Chapter,sam,7,1,8/16/2019
A Dog’s Journey,curtis,9,1,5/17/2019
Ad Astra,jacob,17,1,5/24/2019
Aladdin,curtis,26,0.5,5/24/2019
Aladdin,michael,25,0.5,5/24/2019
All Creatures Here Below,nathan,1,1,5/10/2019
All is True,jake,1,1,5/10/2019
Angel Has Fallen,jake,11,1,8/23/2019
Anna,sam,9,1,6/21/2019
Annabelle Comes Home,michael,11,1,6/28/2019
Artemis Fowl,trevor,16,1,8/9/2019
Ask Dr. Ruth,sam,3,1,5/3/2019
Bardo Blues,john,2,1,5/3/2019
Blinded by the Light,sam,6,1,8/14/2019
Booksmart,jacob,15,1,5/24/2019
Brian Banks,trevor,10,1,8/9/2019
BrightBurn,alex,12,1,5/24/2019
Child’s Play,alex,14,1,6/21/2019
Cowboy Ninja Viking,sam,1,1,6/28/2019
Crawl,sam,8,1,7/12/2019
Dark Phoenix,jacob,19,0.5,6/7/2019
Dark Phoenix,john,17,0.5,6/7/2019
Daughter of the Wolf,jake,1,1,5/10/2019
Dead Trigger,john,2,1,5/3/2019
Dora and the Lost City of Gold,michael,12,1,7/31/2019
Echo in the Canyon,brian,1,1,5/24/2019
El Chicano,sam,4,1,5/3/2019
Fast & Furious Presents: Hobbs & Shaw,nathan,24,1,8/2/2019
Fearless Faith,john,2,1,5/7/2019
Godzilla: King of the Monsters,brian,46,1,5/31/2019
Good Boys,michael,10,1,8/16/2019
John Wick: Chapter 3 — Parabellum,curtis,21,1,5/17/2019
Kursk,sam,7,1,6/21/2019
Late Night,sam,7,1,6/7/2019
Long Shot,alex,10,1,5/3/2019
MA,curtis,12,1,5/31/2019
Meanest Man in Texas,michael,2,1,5/17/2019
Meeting Gorbachev,john,3,1,5/3/2019
Men in Black: International,curtis,27,1,6/14/2019
No Doubt,brian,1,1,5/21/2019
Once Upon a Time in Hollywood,nathan,16,1,7/26/2019
Overcomer,jacob,10,1,8/23/2019
PLAYMOBIL,nathan,11,1,8/16/2019
Pokémon: Detective Pikachu,john,32,0.5,5/10/2019
Pokémon: Detective Pikachu,alex,30,0.5,5/10/2019
Poms,jake,9,1,5/10/2019
Rocketman,jake,27,1,5/31/2019
Room for Rent,nathan,1,1,5/3/2019
Round of Your Life,sam,1,1,6/21/2019
Scary Stories to Tell in the Dark,michael,10,1,8/9/2019
Shaft,sam,13,1,6/14/2019
Shaun the Sheep Movie: Farmageddon,curtis,2,1,5/15/2019
Spider-Man: Far From Home,michael,16,0.333333333,7/2/2019
Spider-Man: Far From Home,jacob,16,0.333333333,7/2/2019
Spider-Man: Far From Home,john,19,0.333333333,7/2/2019
Stuber,michael,13,1,7/12/2019
Student of the Year 2,curtis,1,1,5/10/2019
Tell it to the Bees,michael,1,1,5/3/2019
The Angry Birds Movie 2,trevor,14,0.5,8/14/2019
The Angry Birds Movie 2,sam,10,0.5,8/14/2019
The Biggest Little Farm,jake,1,1,5/10/2019
The Boy 2,sam,6,1,7/26/2019
The Hustle,jacob,10,1,5/10/2019
The Informer,nathan,9,1,8/16/2019
The Intruder,sam,6,1,5/3/2019
The Kitchen,john,7,1,8/9/2019
The Last Black Man in San Francisco,brian,1,1,6/7/2019
The Lion King A,trevor,18,0.25,7/19/2019
The Lion King B,alex,17,0.25,7/19/2019
The Lion King C,alex,17,0.25,7/19/2019
The Lion King D,john,16,0.25,7/19/2019
The New Mutants,sam,6,1,8/2/2019
The Professor and the Madman,jake,1,1,5/10/2019
The Secret Life of Pets 2,brian,33,0.5,6/7/2019
The Secret Life of Pets 2,trevor,32,0.5,6/7/2019
The Spy Behind Home Plate,brian,1,1,5/24/2019
The Sun is Also a Star,sam,6,1,5/17/2019
The Tomorrow Man,brian,1,1,5/22/2019
Tolkien,brian,3,1,5/10/2019
Toy Story 4,jake,40,0.5,6/21/2019
Toy Story 4,nathan,38,0.5,6/21/2019
Trial by Fire,brian,1,1,5/17/2019
UglyDolls,jacob,13,1,5/3/2019
Walking on Water,brian,1,1,5/17/2019
Where’d You Go Bernadette,brian,11,1,8/16/2019
Wine Country,curtis,2,1,5/8/2019
Yesterday,trevor,10,1,6/28/2019
